hostname,os,environment,country,node
LPIRL001,Linux,Production,Ireland,001
ATITA001,AIX,Testing,Italy,001
STDEU001,Solaris,Testing,Germany,001
ADITA001,AIX,Development,Italy,001
HDFRA001,HP-UX,Development,France,001
LDFRA001,Linux,Development,France,001
APNOR001,AIX,Production,Norway,001
LDFRA002,Linux,Development,France,002
SSIRL001,Solaris,Staging,Ireland,001
LDFRA003,Linux,Development,France,003
SPESP001,Solaris,Production,Spain,001
LPIRL002,Linux,Production,Ireland,002
ATFRA001,AIX,Testing,France,001
LTDEU001,Linux,Testing,Germany,001
ASDEU001,AIX,Staging,Germany,001
APIRL001,AIX,Production,Ireland,001
APITA001,AIX,Production,Italy,001
LIESP001,Linux,Integration,Spain,001
LTITA001,Linux,Testing,Italy,001
AIDEU001,AIX,Integration,Germany,001
LSIRL001,Linux,Staging,Ireland,001
SDFRA001,Solaris,Development,France,001
ASDEU002,AIX,Staging,Germany,002
ASESP001,AIX,Staging,Spain,001
SSIRL002,Solaris,Staging,Ireland,002
LTITA002,Linux,Testing,Italy,002
SPDEU001,Solaris,Production,Germany,001
LTITA003,Linux,Testing,Italy,003
LIITA001,Linux,Integration,Italy,001
ATITA002,AIX,Testing,Italy,002
LSITA001,Linux,Staging,Italy,001
ADDEU001,AIX,Development,Germany,001
STDEU002,Solaris,Testing,Germany,002
SIESP001,Solaris,Integration,Spain,001
HPITA001,HP-UX,Production,Italy,001
SSESP001,Solaris,Staging,Spain,001
LTITA004,Linux,Testing,Italy,004
LPITA001,Linux,Production,Italy,001
ASITA001,AIX,Staging,Italy,001
SPESP002,Solaris,Production,Spain,002
LSIRL002,Linux,Staging,Ireland,002
STESP001,Solaris,Testing,Spain,001
SPITA001,Solaris,Production,Italy,001
SPESP003,Solaris,Production,Spain,003
ASNOR001,AIX,Staging,Norway,001
LPIRL003,Linux,Production,Ireland,003
APITA002,AIX,Production,Italy,002
SPDEU002,Solaris,Production,Germany,002
STFRA001,Solaris,Testing,France,001
SDESP001,Solaris,Development,Spain,001
LPESP001,Linux,Production,Spain,001
APESP001,AIX,Production,Spain,001
HTIRL001,HP-UX,Testing,Ireland,001
LSIRL003,Linux,Staging,Ireland,003
APIRL002,AIX,Production,Ireland,002
LPITA002,Linux,Production,Italy,002
SPDEU003,Solaris,Production,Germany,003
STESP002,Solaris,Testing,Spain,002
HIESP001,HP-UX,Integration,Spain,001
LPIRL004,Linux,Production,Ireland,004
SPITA002,Solaris,Production,Italy,002
LIDEU001,Linux,Integration,Germany,001
SPNOR001,Solaris,Production,Norway,001
STDEU003,Solaris,Testing,Germany,003
LSDEU001,Linux,Staging,Germany,001
SPESP004,Solaris,Production,Spain,004
LTDEU002,Linux,Testing,Germany,002
APDEU001,AIX,Production,Germany,001
LDDEU001,Linux,Development,Germany,001
LTIRL001,Linux,Testing,Ireland,001
ATIRL001,AIX,Testing,Ireland,001
HPESP001,HP-UX,Production,Spain,001
LPITA003,Linux,Production,Italy,003
SSESP002,Solaris,Staging,Spain,002
SDDEU001,Solaris,Development,Germany,001
HPIRL001,HP-UX,Production,Ireland,001
AIESP001,AIX,Integration,Spain,001
LPDEU001,Linux,Production,Germany,001
LSFRA001,Linux,Staging,France,001
STDEU004,Solaris,Testing,Germany,004
LSDEU002,Linux,Staging,Germany,002
SPIRL001,Solaris,Production,Ireland,001
ATESP001,AIX,Testing,Spain,001
SSDEU001,Solaris,Staging,Germany,001
ATITA003,AIX,Testing,Italy,003
LPIRL005,Linux,Production,Ireland,005
SSITA001,Solaris,Staging,Italy,001
APIRL003,AIX,Production,Ireland,003
LTDEU003,Linux,Testing,Germany,003
LIDEU002,Linux,Integration,Germany,002
LTITA005,Linux,Testing,Italy,005
ATIRL002,AIX,Testing,Ireland,002
LIIRL001,Linux,Integration,Ireland,001
LPITA004,Linux,Production,Italy,004
LTIRL002,Linux,Testing,Ireland,002
ADITA002,AIX,Development,Italy,002
LTIRL003,Linux,Testing,Ireland,003
SPFRA001,Solaris,Production,France,001
SIITA001,Solaris,Integration,Italy,001
LPIRL006,Linux,Production,Ireland,006
ATESP002,AIX,Testing,Spain,002
LPDEU002,Linux,Production,Germany,002
LPESP002,Linux,Production,Spain,002
LINOR001,Linux,Integration,Norway,001
SPITA003,Solaris,Production,Italy,003
LSIRL004,Linux,Staging,Ireland,004
LIIRL002,Linux,Integration,Ireland,002
LPIRL007,Linux,Production,Ireland,007
SPITA004,Solaris,Production,Italy,004
STITA001,Solaris,Testing,Italy,001
HIESP002,HP-UX,Integration,Spain,002
LPITA005,Linux,Production,Italy,005
SSESP003,Solaris,Staging,Spain,003
HDDEU001,HP-UX,Development,Germany,001
LPFRA001,Linux,Production,France,001
SSFRA001,Solaris,Staging,France,001
ASIRL001,AIX,Staging,Ireland,001
LDNOR001,Linux,Development,Norway,001
APIRL004,AIX,Production,Ireland,004
AIESP002,AIX,Integration,Spain,002
ADIRL001,AIX,Development,Ireland,001
LTIRL004,Linux,Testing,Ireland,004
HSESP001,HP-UX,Staging,Spain,001
SPESP005,Solaris,Production,Spain,005
STESP003,Solaris,Testing,Spain,003
LTESP001,Linux,Testing,Spain,001
LPDEU003,Linux,Production,Germany,003
ATIRL003,AIX,Testing,Ireland,003
APDEU002,AIX,Production,Germany,002
LIDEU003,Linux,Integration,Germany,003
ADESP001,AIX,Development,Spain,001
LPDEU004,Linux,Production,Germany,004
SPITA005,Solaris,Production,Italy,005
LIESP002,Linux,Integration,Spain,002
ADDEU002,AIX,Development,Germany,002
LSIRL005,Linux,Staging,Ireland,005
LSESP001,Linux,Staging,Spain,001
ATDEU001,AIX,Testing,Germany,001
SSESP004,Solaris,Staging,Spain,004
STESP004,Solaris,Testing,Spain,004
LTITA006,Linux,Testing,Italy,006
APFRA001,AIX,Production,France,001
APITA003,AIX,Production,Italy,003
STIRL001,Solaris,Testing,Ireland,001
LDITA001,Linux,Development,Italy,001
HIESP003,HP-UX,Integration,Spain,003
LSIRL006,Linux,Staging,Ireland,006
HPFRA001,HP-UX,Production,France,001
SPESP006,Solaris,Production,Spain,006
ATDEU002,AIX,Testing,Germany,002
SPESP007,Solaris,Production,Spain,007
LTDEU004,Linux,Testing,Germany,004
LPDEU005,Linux,Production,Germany,005
ATIRL004,AIX,Testing,Ireland,004
LSIRL007,Linux,Staging,Ireland,007
SIIRL001,Solaris,Integration,Ireland,001
HDNOR001,HP-UX,Development,Norway,001
LPFRA002,Linux,Production,France,002
SSIRL003,Solaris,Staging,Ireland,003
LTIRL005,Linux,Testing,Ireland,005
LPFRA003,Linux,Production,France,003
LDIRL001,Linux,Development,Ireland,001
LPIRL008,Linux,Production,Ireland,008
LTDEU005,Linux,Testing,Germany,005
LTITA007,Linux,Testing,Italy,007
LPIRL009,Linux,Production,Ireland,009
APIRL005,AIX,Production,Ireland,005
HDIRL001,HP-UX,Development,Ireland,001
LTITA008,Linux,Testing,Italy,008
STIRL002,Solaris,Testing,Ireland,002
HINOR001,HP-UX,Integration,Norway,001
ASITA002,AIX,Staging,Italy,002
LTDEU006,Linux,Testing,Germany,006
SDIRL001,Solaris,Development,Ireland,001
SPIRL002,Solaris,Production,Ireland,002
LSESP002,Linux,Staging,Spain,002
STDEU005,Solaris,Testing,Germany,005
SPIRL003,Solaris,Production,Ireland,003
LSIRL008,Linux,Staging,Ireland,008
SSIRL004,Solaris,Staging,Ireland,004
ATESP003,AIX,Testing,Spain,003
LSDEU003,Linux,Staging,Germany,003
SSITA002,Solaris,Staging,Italy,002
STIRL003,Solaris,Testing,Ireland,003
LTIRL006,Linux,Testing,Ireland,006
LPFRA004,Linux,Production,France,004
LSDEU004,Linux,Staging,Germany,004
HDIRL002,HP-UX,Development,Ireland,002
APDEU003,AIX,Production,Germany,003
LSESP003,Linux,Staging,Spain,003
HPESP002,HP-UX,Production,Spain,002
LDDEU002,Linux,Development,Germany,002
LSESP004,Linux,Staging,Spain,004
HPFRA002,HP-UX,Production,France,002
LSITA002,Linux,Staging,Italy,002
SPITA006,Solaris,Production,Italy,006
SSIRL005,Solaris,Staging,Ireland,005
HSNOR001,HP-UX,Staging,Norway,001
LIIRL003,Linux,Integration,Ireland,003
SDESP002,Solaris,Development,Spain,002
ASDEU003,AIX,Staging,Germany,003
SIFRA001,Solaris,Integration,France,001
LSIRL009,Linux,Staging,Ireland,009
LSESP005,Linux,Staging,Spain,005
STIRL004,Solaris,Testing,Ireland,004
LPDEU006,Linux,Production,Germany,006
ATIRL005,AIX,Testing,Ireland,005
SSIRL006,Solaris,Staging,Ireland,006
HTNOR001,HP-UX,Testing,Norway,001
HTDEU001,HP-UX,Testing,Germany,001
LSIRL010,Linux,Staging,Ireland,010
SPIRL004,Solaris,Production,Ireland,004
ADIRL002,AIX,Development,Ireland,002
LSESP006,Linux,Staging,Spain,006
LDDEU003,Linux,Development,Germany,003
HIESP004,HP-UX,Integration,Spain,004
LSDEU005,Linux,Staging,Germany,005
LPITA006,Linux,Production,Italy,006
LTDEU007,Linux,Testing,Germany,007
HTIRL002,HP-UX,Testing,Ireland,002
SSDEU002,Solaris,Staging,Germany,002
HTITA001,HP-UX,Testing,Italy,001
SPITA007,Solaris,Production,Italy,007
LSDEU006,Linux,Staging,Germany,006
HSESP002,HP-UX,Staging,Spain,002
LSDEU007,Linux,Staging,Germany,007
LPESP003,Linux,Production,Spain,003
HSFRA001,HP-UX,Staging,France,001
LPIRL010,Linux,Production,Ireland,010
STIRL005,Solaris,Testing,Ireland,005
LSDEU008,Linux,Staging,Germany,008
ASNOR002,AIX,Staging,Norway,002
APDEU004,AIX,Production,Germany,004
LIITA002,Linux,Integration,Italy,002
SSITA003,Solaris,Staging,Italy,003
HPFRA003,HP-UX,Production,France,003
LTIRL007,Linux,Testing,Ireland,007
LTESP002,Linux,Testing,Spain,002
STDEU006,Solaris,Testing,Germany,006
SSFRA002,Solaris,Staging,France,002
ATDEU003,AIX,Testing,Germany,003
APDEU005,AIX,Production,Germany,005
LPIRL011,Linux,Production,Ireland,011
ATIRL006,AIX,Testing,Ireland,006
LSDEU009,Linux,Staging,Germany,009
LDIRL002,Linux,Development,Ireland,002
LPDEU007,Linux,Production,Germany,007
SDESP003,Solaris,Development,Spain,003
LPESP004,Linux,Production,Spain,004
LIFRA001,Linux,Integration,France,001
HDDEU002,HP-UX,Development,Germany,002
SPIRL005,Solaris,Production,Ireland,005
HTIRL003,HP-UX,Testing,Ireland,003
HSIRL001,HP-UX,Staging,Ireland,001
APITA004,AIX,Production,Italy,004
LSNOR001,Linux,Staging,Norway,001
STDEU007,Solaris,Testing,Germany,007
HSIRL002,HP-UX,Staging,Ireland,002
STFRA002,Solaris,Testing,France,002
AIFRA001,AIX,Integration,France,001
LPNOR001,Linux,Production,Norway,001
LIDEU004,Linux,Integration,Germany,004
ADIRL003,AIX,Development,Ireland,003
SPIRL006,Solaris,Production,Ireland,006
LPDEU008,Linux,Production,Germany,008
APFRA002,AIX,Production,France,002
AIIRL001,AIX,Integration,Ireland,001
APITA005,AIX,Production,Italy,005
LSESP007,Linux,Staging,Spain,007
LIDEU005,Linux,Integration,Germany,005
SSDEU003,Solaris,Staging,Germany,003
SPDEU004,Solaris,Production,Germany,004
SIDEU001,Solaris,Integration,Germany,001
LPDEU009,Linux,Production,Germany,009
ATIRL007,AIX,Testing,Ireland,007
APNOR002,AIX,Production,Norway,002
ASDEU004,AIX,Staging,Germany,004
LSIRL011,Linux,Staging,Ireland,011
ATIRL008,AIX,Testing,Ireland,008
HTFRA001,HP-UX,Testing,France,001
ATESP004,AIX,Testing,Spain,004
LPIRL012,Linux,Production,Ireland,012
LPDEU010,Linux,Production,Germany,010
STIRL006,Solaris,Testing,Ireland,006
ATNOR001,AIX,Testing,Norway,001
SPDEU005,Solaris,Production,Germany,005
HSIRL003,HP-UX,Staging,Ireland,003
LIIRL004,Linux,Integration,Ireland,004
APITA006,AIX,Production,Italy,006
HTESP001,HP-UX,Testing,Spain,001
AIESP003,AIX,Integration,Spain,003
LTIRL008,Linux,Testing,Ireland,008
LTESP003,Linux,Testing,Spain,003
AIIRL002,AIX,Integration,Ireland,002
LTESP004,Linux,Testing,Spain,004
LIITA003,Linux,Integration,Italy,003
ASDEU005,AIX,Staging,Germany,005
LSITA003,Linux,Staging,Italy,003
ATDEU004,AIX,Testing,Germany,004
SPITA008,Solaris,Production,Italy,008
LDESP001,Linux,Development,Spain,001
HPITA002,HP-UX,Production,Italy,002
STIRL007,Solaris,Testing,Ireland,007
LIDEU006,Linux,Integration,Germany,006
ATDEU005,AIX,Testing,Germany,005
SSDEU004,Solaris,Staging,Germany,004
STIRL008,Solaris,Testing,Ireland,008
APESP002,AIX,Production,Spain,002
LTFRA001,Linux,Testing,France,001
LSESP008,Linux,Staging,Spain,008
ATFRA002,AIX,Testing,France,002
LPESP005,Linux,Production,Spain,005
APIRL006,AIX,Production,Ireland,006
STDEU008,Solaris,Testing,Germany,008
SPESP008,Solaris,Production,Spain,008
LTIRL009,Linux,Testing,Ireland,009
LDESP002,Linux,Development,Spain,002
SPITA009,Solaris,Production,Italy,009
LDIRL003,Linux,Development,Ireland,003
SPDEU006,Solaris,Production,Germany,006
SDIRL002,Solaris,Development,Ireland,002
ATITA004,AIX,Testing,Italy,004
LPIRL013,Linux,Production,Ireland,013
LDESP003,Linux,Development,Spain,003
STESP005,Solaris,Testing,Spain,005
ASIRL002,AIX,Staging,Ireland,002
LPESP006,Linux,Production,Spain,006
LSIRL012,Linux,Staging,Ireland,012
HPIRL002,HP-UX,Production,Ireland,002
SPIRL007,Solaris,Production,Ireland,007
LPESP007,Linux,Production,Spain,007
ASFRA001,AIX,Staging,France,001
LSDEU010,Linux,Staging,Germany,010
LPESP008,Linux,Production,Spain,008
LTIRL010,Linux,Testing,Ireland,010
LTDEU008,Linux,Testing,Germany,008
HDIRL003,HP-UX,Development,Ireland,003
STDEU009,Solaris,Testing,Germany,009
HDITA001,HP-UX,Development,Italy,001
STIRL009,Solaris,Testing,Ireland,009
LTESP005,Linux,Testing,Spain,005
LSESP009,Linux,Staging,Spain,009
LSNOR002,Linux,Staging,Norway,002
LTDEU009,Linux,Testing,Germany,009
LSDEU011,Linux,Staging,Germany,011
LPESP009,Linux,Production,Spain,009
LSIRL013,Linux,Staging,Ireland,013
APFRA003,AIX,Production,France,003
ATIRL009,AIX,Testing,Ireland,009
LSIRL014,Linux,Staging,Ireland,014
SIDEU002,Solaris,Integration,Germany,002
LTDEU010,Linux,Testing,Germany,010
LPIRL014,Linux,Production,Ireland,014
SDITA001,Solaris,Development,Italy,001
HPFRA004,HP-UX,Production,France,004
SSIRL007,Solaris,Staging,Ireland,007
AIITA001,AIX,Integration,Italy,001
APIRL007,AIX,Production,Ireland,007
SPIRL008,Solaris,Production,Ireland,008
LPDEU011,Linux,Production,Germany,011
SSFRA003,Solaris,Staging,France,003
LSNOR003,Linux,Staging,Norway,003
LPIRL015,Linux,Production,Ireland,015
LDITA002,Linux,Development,Italy,002
APFRA004,AIX,Production,France,004
APIRL008,AIX,Production,Ireland,008
LTIRL011,Linux,Testing,Ireland,011
HSESP003,HP-UX,Staging,Spain,003
LIIRL005,Linux,Integration,Ireland,005
LSIRL015,Linux,Staging,Ireland,015
ATDEU006,AIX,Testing,Germany,006
ASDEU006,AIX,Staging,Germany,006
APESP003,AIX,Production,Spain,003
LTIRL012,Linux,Testing,Ireland,012
SPNOR002,Solaris,Production,Norway,002
LSESP010,Linux,Staging,Spain,010
SDIRL003,Solaris,Development,Ireland,003
SSFRA004,Solaris,Staging,France,004
LTESP006,Linux,Testing,Spain,006
SIDEU003,Solaris,Integration,Germany,003
APITA007,AIX,Production,Italy,007
LSIRL016,Linux,Staging,Ireland,016
LDESP004,Linux,Development,Spain,004
LDESP005,Linux,Development,Spain,005
SSDEU005,Solaris,Staging,Germany,005
HPITA003,HP-UX,Production,Italy,003
LSIRL017,Linux,Staging,Ireland,017
SPITA010,Solaris,Production,Italy,010
HTITA002,HP-UX,Testing,Italy,002
AIIRL003,AIX,Integration,Ireland,003
SSIRL008,Solaris,Staging,Ireland,008
LPFRA005,Linux,Production,France,005
HPDEU001,HP-UX,Production,Germany,001
SSFRA005,Solaris,Staging,France,005
LTFRA002,Linux,Testing,France,002
LPDEU012,Linux,Production,Germany,012
SDITA002,Solaris,Development,Italy,002
HPESP003,HP-UX,Production,Spain,003
SSIRL009,Solaris,Staging,Ireland,009
LPFRA006,Linux,Production,France,006
ATDEU007,AIX,Testing,Germany,007
LTESP007,Linux,Testing,Spain,007
SPDEU007,Solaris,Production,Germany,007
LTNOR001,Linux,Testing,Norway,001
LSESP011,Linux,Staging,Spain,011
LTIRL013,Linux,Testing,Ireland,013
SSITA004,Solaris,Staging,Italy,004
APDEU006,AIX,Production,Germany,006
APIRL009,AIX,Production,Ireland,009
STFRA003,Solaris,Testing,France,003
HPESP004,HP-UX,Production,Spain,004
STITA002,Solaris,Testing,Italy,002
HINOR002,HP-UX,Integration,Norway,002
LDIRL004,Linux,Development,Ireland,004
SIESP002,Solaris,Integration,Spain,002
LPITA007,Linux,Production,Italy,007
LDIRL005,Linux,Development,Ireland,005
LPITA008,Linux,Production,Italy,008
SPFRA002,Solaris,Production,France,002
ATIRL010,AIX,Testing,Ireland,010
LSFRA002,Linux,Staging,France,002
LTIRL014,Linux,Testing,Ireland,014
LIIRL006,Linux,Integration,Ireland,006
LDIRL006,Linux,Development,Ireland,006
ASITA003,AIX,Staging,Italy,003
LTNOR002,Linux,Testing,Norway,002
AINOR001,AIX,Integration,Norway,001
SPESP009,Solaris,Production,Spain,009
LTDEU011,Linux,Testing,Germany,011
SSIRL010,Solaris,Staging,Ireland,010
LTESP008,Linux,Testing,Spain,008
LPESP010,Linux,Production,Spain,010
SDIRL004,Solaris,Development,Ireland,004
LTITA009,Linux,Testing,Italy,009
APIRL010,AIX,Production,Ireland,010
AIDEU002,AIX,Integration,Germany,002
LTIRL015,Linux,Testing,Ireland,015
LTNOR003,Linux,Testing,Norway,003
STITA003,Solaris,Testing,Italy,003
HTESP002,HP-UX,Testing,Spain,002
STDEU010,Solaris,Testing,Germany,010
SIIRL002,Solaris,Integration,Ireland,002
HPITA004,HP-UX,Production,Italy,004
LTIRL016,Linux,Testing,Ireland,016
SPITA011,Solaris,Production,Italy,011
STIRL010,Solaris,Testing,Ireland,010
ATNOR002,AIX,Testing,Norway,002
LPIRL016,Linux,Production,Ireland,016
AIDEU003,AIX,Integration,Germany,003
STESP006,Solaris,Testing,Spain,006
LTNOR004,Linux,Testing,Norway,004
HPITA005,HP-UX,Production,Italy,005
ATIRL011,AIX,Testing,Ireland,011
SPFRA003,Solaris,Production,France,003
LPDEU013,Linux,Production,Germany,013
LTITA010,Linux,Testing,Italy,010
LTDEU012,Linux,Testing,Germany,012
LPITA009,Linux,Production,Italy,009
HDFRA002,HP-UX,Development,France,002
SSFRA006,Solaris,Staging,France,006
SPIRL009,Solaris,Production,Ireland,009
LSESP012,Linux,Staging,Spain,012
LTESP009,Linux,Testing,Spain,009
SSFRA007,Solaris,Staging,France,007
LPESP011,Linux,Production,Spain,011
APIRL011,AIX,Production,Ireland,011
ATIRL012,AIX,Testing,Ireland,012
HPIRL003,HP-UX,Production,Ireland,003
SDNOR001,Solaris,Development,Norway,001
LTFRA003,Linux,Testing,France,003
HPESP005,HP-UX,Production,Spain,005
SPDEU008,Solaris,Production,Germany,008
HIDEU001,HP-UX,Integration,Germany,001
STIRL011,Solaris,Testing,Ireland,011
LIITA004,Linux,Integration,Italy,004
LTIRL017,Linux,Testing,Ireland,017
HPNOR001,HP-UX,Production,Norway,001
APFRA005,AIX,Production,France,005
ASITA004,AIX,Staging,Italy,004
SSFRA008,Solaris,Staging,France,008
SPFRA004,Solaris,Production,France,004
SSDEU006,Solaris,Staging,Germany,006
STDEU011,Solaris,Testing,Germany,011
ADESP002,AIX,Development,Spain,002
LPESP012,Linux,Production,Spain,012
LPITA010,Linux,Production,Italy,010
HPIRL004,HP-UX,Production,Ireland,004
APIRL012,AIX,Production,Ireland,012
HTNOR002,HP-UX,Testing,Norway,002
LTDEU013,Linux,Testing,Germany,013
LTDEU014,Linux,Testing,Germany,014
LSESP013,Linux,Staging,Spain,013
ASESP002,AIX,Staging,Spain,002
APIRL013,AIX,Production,Ireland,013
SIFRA002,Solaris,Integration,France,002
SDDEU002,Solaris,Development,Germany,002
STESP007,Solaris,Testing,Spain,007
LPESP013,Linux,Production,Spain,013
